Lab,Batch,Y,X1,X2,X3
1,1,608.781,-1,-1,-1
1,2,569.67,-1,-1,-1
1,1,689.556,-1,-1,-1
1,2,747.541,-1,-1,-1
1,1,618.134,-1,-1,-1
1,2,612.182,-1,-1,-1
1,1,680.203,-1,-1,-1
1,2,607.766,-1,-1,-1
1,1,726.232,-1,-1,-1
1,2,605.38,-1,-1,-1
1,1,518.655,-1,-1,-1
1,2,589.226,-1,-1,-1
1,1,740.447,-1,-1,-1
1,2,588.375,-1,-1,-1
1,1,666.83,-1,-1,-1
1,2,531.384,-1,-1,-1
1,1,710.272,-1,-1,-1
1,2,633.417,-1,-1,-1
1,1,751.669,-1,-1,-1
1,2,619.06,-1,-1,-1
1,1,697.979,-1,-1,-1
1,2,632.447,-1,-1,-1
1,1,708.583,-1,-1,-1
1,2,624.256,-1,-1,-1
1,1,624.972,-1,-1,-1
1,2,575.143,-1,-1,-1
1,1,695.07,-1,-1,-1
1,2,549.278,-1,-1,-1
1,1,769.391,-1,-1,-1
1,2,624.972,-1,-1,-1
1,1,720.186,-1,1,1
1,2,587.695,-1,1,1
1,1,723.657,-1,1,1
1,2,569.207,-1,1,1
1,1,703.7,-1,1,1
1,2,613.257,-1,1,1
1,1,697.626,-1,1,1
1,2,565.737,-1,1,1
1,1,714.98,-1,1,1
1,2,662.131,-1,1,1
1,1,657.712,-1,1,1
1,2,543.177,-1,1,1
1,1,609.989,-1,1,1
1,2,512.394,-1,1,1
1,1,650.771,-1,1,1
1,2,611.19,-1,1,1
1,1,707.977,-1,1,1
1,2,659.982,-1,1,1
1,1,712.199,-1,1,1
1,2,569.245,-1,1,1
1,1,709.631,-1,1,1
1,2,725.792,-1,1,1
1,1,703.16,-1,1,1
1,2,608.96,-1,1,1
1,1,744.822,-1,1,1
1,2,586.06,-1,1,1
1,1,719.217,-1,1,1
1,2,617.441,-1,1,1
1,1,619.137,-1,1,1
1,2,592.845,-1,1,1
2,1,753.333,1,1,1
2,2,631.754,1,1,1
2,1,677.933,1,1,1
2,2,588.113,1,1,1
2,1,735.919,1,1,1
2,2,555.724,1,1,1
2,1,695.274,1,1,1
2,2,702.411,1,1,1
2,1,504.167,1,1,1
2,2,631.754,1,1,1
2,1,693.333,1,1,1
2,2,698.254,1,1,1
2,1,625,1,1,1
2,2,616.791,1,1,1
2,1,596.667,1,1,1
2,2,551.953,1,1,1
2,1,640.898,1,1,1
2,2,636.738,1,1,1
2,1,720.506,1,1,1
2,2,571.551,1,1,1
2,1,700.748,1,1,1
2,2,521.667,1,1,1
2,1,691.604,1,1,1
2,2,587.451,1,1,1
2,1,636.738,1,1,1
2,2,700.422,1,1,1
2,1,731.667,1,1,1
2,2,595.819,1,1,1
2,1,635.079,1,1,1
2,2,534.236,1,1,1
2,1,716.926,1,-1,-1
2,2,606.188,1,-1,-1
2,1,759.581,1,-1,-1
2,2,575.303,1,-1,-1
2,1,673.903,1,-1,-1
2,2,590.628,1,-1,-1
2,1,736.648,1,-1,-1
2,2,729.314,1,-1,-1
2,1,675.957,1,-1,-1
2,2,619.313,1,-1,-1
2,1,729.23,1,-1,-1
2,2,624.234,1,-1,-1
2,1,697.239,1,-1,-1
2,2,651.304,1,-1,-1
2,1,728.499,1,-1,-1
2,2,724.175,1,-1,-1
2,1,797.662,1,-1,-1
2,2,583.034,1,-1,-1
2,1,668.53,1,-1,-1
2,2,620.227,1,-1,-1
2,1,815.754,1,-1,-1
2,2,584.861,1,-1,-1
2,1,777.392,1,-1,-1
2,2,565.391,1,-1,-1
2,1,712.14,1,-1,-1
2,2,622.506,1,-1,-1
2,1,663.622,1,-1,-1
2,2,628.336,1,-1,-1
